date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"Monash University",2.788829731401758,1
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"UNSW",3.428569497574665,2
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"University of Melbourne",2.4389960163511257,3
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"The University of Queensland",2.9908741117089757,4
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"Department of Education & Training, Victoria",3.6432271199118405,5
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"NSW Department of Education",2.232952212922032,6
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"RMIT University",2.4356752070943632,7
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"University of Sydney",1.8310148286126988,8
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"Deakin University",2.6693015048061914,9
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"Griffith University",2.8008280277705584,10
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"TAFE NSW",2.6746123493996325,11
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"CSIRO",3.477302191873554,12
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"The Australian National University",2.741834052802824,13
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"University of Technology Sydney",2.015516699228246,14
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"Curtin University",2.6031498298156492,15
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"Western Sydney University",3.058778124122543,16
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"Macquarie University",2.3046017272672508,17
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"University of Adelaide",2.4764612516878772,18
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"Swinburne University of Technology",2.61201558182579,19
2021-05-31,au,"Australia","All","Education",Top Trending Employers,"QUT (Queensland University of Technology)",1.5962283258186474,20
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Teacher",9.131290197051433,1
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Lecturer",4.369333776318473,2
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Postdoctoral Researcher",1.7082974843927143,3
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Research Officer",1.6585082175817956,4
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Support Associate",1.622096671535067,5
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Administrative Officer",1.52560619568537,6
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Academic Tutor",1.501347432024827,7
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Project Manager",1.3653656274188548,8
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Professor",1.2675728395878547,9
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Business Analyst",1.254069715830146,10
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Software Engineer",1.0135173790051142,11
2021-05-31,au,"Australia","All","Education",Top Trending Jobs,"Learning Designer",0.9433765085497505,12
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Teaching",-1,1
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Curriculum Development",-1,2
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Business Analysis",-1,3
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"JavaScript",-1,4
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Stakeholder Management",-1,5
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Project Delivery",-1,6
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Requirements Gathering",-1,7
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Administration",-1,8
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Office Administration",-1,9
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Public Speaking",-1,10
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Mental Health",-1,11
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Scientific Writing",-1,12
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Qualitative Research",-1,13
2021-05-31,au,"Australia","All","Education",Top Trending Skills,"Support Workers",-1,14
