date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Commonwealth Bank",4.2914864154351475,1
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"ANZ",3.546560833923055,2
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Westpac",4.576526251936261,3
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Macquarie Group",5.0278680539198985,4
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"IAG",4.923711130964175,5
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"IOOF Holdings Ltd",13.953591082460445,6
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"QBE Insurance",5.846340049350694,7
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"AMP",4.131094833131744,8
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"EML (Employers Mutual Limited)",8.857732173817793,9
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Bendigo and Adelaide Bank",4.573173096362384,10
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Bank of Queensland",6.208466196318553,11
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"AIA Australia",9.062938841149561,12
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"RACQ",6.952525368660782,13
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Allianz Australia",4.821903303800912,14
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"BT",3.146442382342369,15
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"HSBC",4.8933820566741035,16
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Medibank",3.4498522999500896,17
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Gallagher Bassett",10.244364362996018,18
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"Citi",4.525670027662777,19
2021-05-31,au,"Australia","All","Finance",Top Trending Employers,"AustralianSuper",6.387359531080754,20
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Business Analyst",4.571416843154499,1
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Software Engineer",2.9550872374163446,2
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Project Manager",2.0745591038030815,3
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Financial Advisor",1.7311473894612313,4
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Relationship Manager",1.5626751794913307,5
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Business Development Manager",1.5587039651569272,6
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Investment Analyst",1.355821088876775,7
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Customer Service Representative",1.353261928532617,8
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Change Manager",1.088665601677007,9
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Accountant",1.0749349599940081,10
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Data Analyst",1.0560702886591171,11
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Case Manager",1.0117095687651902,12
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Claims Consultant",0.988081153969419,13
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Product Manager",0.98721713581977,14
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Account Manager",0.932016088504545,15
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Underwriter",0.92189368758083,16
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Account Executive",0.9066446457671691,17
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Finance Manager",0.8611046728469768,18
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Mortgage Broker",0.8398465838338299,19
2021-05-31,au,"Australia","All","Finance",Top Trending Jobs,"Banking Advisor",0.7454806299084518,20
2021-05-31,au,"Australia","All","Finance",Top Trending Skills,"Account Management",-1,1
2021-05-31,au,"Australia","All","Finance",Top Trending Skills,"Business Analysis",-1,2
2021-05-31,au,"Australia","All","Finance",Top Trending Skills,"JavaScript",-1,3
2021-05-31,au,"Australia","All","Finance",Top Trending Skills,"MYOB",-1,4
2021-05-31,au,"Australia","All","Finance",Top Trending Skills,"Stakeholder Management",-1,5
2021-05-31,au,"Australia","All","Finance",Top Trending Skills,"Project Delivery",-1,6
