date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Bupa",5.8104489395091985,1
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Queensland Health",1.6212990076563234,2
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"SA Health",5.375372913108323,3
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Monash Health",3.7326819881969246,4
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Alfred Health",4.480510422356214,5
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Ramsay Health Care",4.234842185432242,6
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Healthscope",6.558832116489039,7
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"headspace",6.7857814233108495,8
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"The Royal Melbourne Hospital",4.397642614474961,9
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Austin Health",5.011321434315473,10
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Western Health",5.343390744966888,11
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"St John of God Health Care",3.723804340422442,12
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"HammondCare",8.767929917683686,13
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Epworth",4.0281011637325,14
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Mater",4.101751423935211,15
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Department of Health (WA Health)",3.9856364187828577,16
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"St Vincent's Hospital Melbourne",4.432701189913727,17
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Australian Clinical Labs",9.455166142477063,18
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"St Vincent's Health Australia",7.3038605017888685,19
2021-05-31,au,"Australia","All","Health Care",Top Trending Employers,"Cochlear",4.37507820865307,20
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Nurse",7.9703531319906675,1
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Psychologist",3.0301038453955584,2
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Support Associate",2.5527672264415653,3
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Occupational Therapist",2.390490771360584,4
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Administrative Officer",2.074038437535942,5
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Medical Receptionist",1.7499605467410626,6
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Physiotherapist",1.646001969320909,7
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Project Manager",1.233593850461632,8
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"General Manager",1.156942641690539,9
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Speech Language Pathologist",1.0987073031709687,10
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Receptionist",1.0777929670648045,11
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Social Worker",0.8877522201969739,12
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Business Development Manager",0.8793425032155407,13
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Clinical Research Associate",0.8305904741325655,14
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Customer Service Representative",0.7703732935089401,15
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Support Coordinator",0.6980294605463674,16
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"General Practitioner",0.6652437589021535,17
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Dietitian",0.6651075200148795,18
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Pharmacist",0.6545911250230362,19
2021-05-31,au,"Australia","All","Health Care",Top Trending Jobs,"Operations Manager",0.625605380261999,20
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Operations Management",-1,1
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Stakeholder Management",-1,2
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Account Management",-1,3
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Project Delivery",-1,4
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Change Management",-1,5
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Time Management",-1,6
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Office Administration",-1,7
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Administration",-1,8
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Receptionist Duties",-1,9
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Cognitive Behavioral Therapy (CBT)",-1,10
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Occupational Therapy",-1,11
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Psychological Assessment",-1,12
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Pharmacy",-1,13
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Rehabilitation",-1,14
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Nursing",-1,15
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Mental Health",-1,16
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Community Pharmacy",-1,17
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Speech Therapy",-1,18
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Case Management",-1,19
2021-05-31,au,"Australia","All","Health Care",Top Trending Skills,"Dietetics",-1,20
