date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Employers,"REA Group",9.756416304396758,1
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Employers,"News Corp Australia",3.5468789219953285,2
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Employers,"SEEK",5.649752290446584,3
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Employers,"OMD Australia",15.242896738601692,4
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Account Manager",7.848626720302401,1
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Account Executive",3.9478022168228657,2
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Account Director",3.0718098154937743,3
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Graphic Designer",2.5789542384045876,4
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Copywriter",2.076509048082486,5
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Journalist",2.0236413426581215,6
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Account Coordinator",1.9585089281638643,7
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Project Manager",1.380818382918349,8
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Editor",1.295702058550639,9
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Marketing Coordinator",1.2797371807394806,10
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Business Development Manager",1.2428113511059973,11
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Writer",1.135681030646793,12
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Jobs,"Digital Coordinator",1.0295284611983722,13
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Account Management",-1,1
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Adobe Creative Suite",-1,2
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Stakeholder Management",-1,3
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Project Delivery",-1,4
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Writing",-1,5
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Editing",-1,6
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Social Media Marketing",-1,7
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Digital Marketing",-1,8
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Journalism",-1,9
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Copywriting",-1,10
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Copy Editing",-1,11
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"News Writing",-1,12
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Web Content Writing",-1,13
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Commercial Insurance",-1,14
2021-05-31,au,"Australia","All","Media & Communications",Top Trending Skills,"Integrated Marketing",-1,15
