date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,au,"Australia","All","Real Estate",Top Trending Employers,"Scentre Group (Owner and Operator of Westfield in Aus and NZ)",8.450722992778969,1
2021-05-31,au,"Australia","All","Real Estate",Top Trending Employers,"Ray White",3.9343129423671748,2
2021-05-31,au,"Australia","All","Real Estate",Top Trending Employers,"CBRE",6.001139040556842,3
2021-05-31,au,"Australia","All","Real Estate",Top Trending Employers,"Mirvac",5.815217986349267,4
2021-05-31,au,"Australia","All","Real Estate",Top Trending Employers,"Stockland",5.228275113488771,5
2021-05-31,au,"Australia","All","Real Estate",Top Trending Employers,"McGrath Estate Agents",6.301818874656758,6
2021-05-31,au,"Australia","All","Real Estate",Top Trending Employers,"Vicinity Centres",5.913902667558732,7
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Property Manager",8.561084557051942,1
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Real Estate Agent",4.454170486766177,2
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Salesperson",4.23416511107599,3
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Project Manager",2.7351817344004408,4
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Sales Consultant",2.667777664585188,5
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Business Development Manager",2.185124917969712,6
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Marketing Manager",2.1809014199307866,7
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Sales Executive",2.105408361497062,8
2021-05-31,au,"Australia","All","Real Estate",Top Trending Jobs,"Receptionist",1.9880937869212003,9
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Stakeholder Management",-1,1
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Account Management",-1,2
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Project Delivery",-1,3
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Marketing Strategy",-1,4
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Digital Marketing",-1,5
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Property Management",-1,6
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Receptionist Duties",-1,7
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Office Administration",-1,8
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Investment Properties",-1,9
2021-05-31,au,"Australia","All","Real Estate",Top Trending Skills,"Residential Real Estate",-1,10
