date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Accenture",13.735768392334249,1
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Accenture Australia",19.146301579717512,2
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Capgemini",13.76485717782589,3
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Infosys",6.04148752430641,4
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Microsoft",6.276880683558654,5
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",4.998087501682466,6
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Atlassian",6.17502990834143,7
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Canva",12.368261778253533,8
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"DXC Technology",3.788454797385169,9
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Serco",7.3521264255246175,10
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Tata Consultancy Services",4.576348012080314,11
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"ASG Group",10.383245706870555,12
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Wipro Limited",7.9977730095978705,13
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"MYOB",8.112353275092644,14
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Concentrix",14.347997433825721,15
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Xero",9.242405011911305,16
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Afterpay",12.920697531363457,17
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Datacom",4.6881038101318415,18
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"Servian",15.130059400281958,19
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Employers,"EY Analytics (Asia-Pacific)",27.550699164020575,20
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Software Engineer",7.999477386683385,1
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Account Executive",2.302088733034042,2
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Project Manager",2.301136406428155,3
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Business Development Manager",2.0312072724231864,4
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Business Analyst",1.9714579662652973,5
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Account Manager",1.7157775644894206,6
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Solutions Architect",1.5295364205244382,7
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Customer Success Manager",1.2857735822844758,8
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Product Manager",1.1907491339288603,9
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"System Engineer",1.1209836398052424,10
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Technical Consultant",1.0094647215004577,11
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Customer Service Representative",0.9114852848156348,12
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Full Stack Engineer",0.8993358077975683,13
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Frontend Developer",0.8754334754009904,14
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Marketing Manager",0.8565961438240202,15
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Data Analyst",0.8401781783882937,16
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Test Analyst",0.8280080668078461,17
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Information Technology Consultant",0.7636655020023618,18
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Data Engineer",0.6983243070818305,19
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Jobs,"Sales Development Representative",0.6667153258717429,20
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Account Management",-1,1
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Business Analysis",-1,2
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,3
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Stakeholder Management",-1,4
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Project Delivery",-1,5
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Marketing Strategy",-1,6
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Requirements Gathering",-1,7
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Time Management",-1,8
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Digital Marketing",-1,9
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Data Analysis",-1,10
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Solution Architecture",-1,11
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Product Development",-1,12
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Tableau",-1,13
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"React.js",-1,14
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Integration",-1,15
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Active Directory",-1,16
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Node.js",-1,17
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Test Planning",-1,18
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"VMware",-1,19
2021-05-31,au,"Australia","All","Software & IT Services",Top Trending Skills,"Regression Testing",-1,20
