date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"The University of British Columbia",4.238044247235988,1
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"University of Waterloo",7.00908904891164,2
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"McMaster University",5.4246179647775765,3
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"University of Ottawa",5.377852890900733,4
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"McGill University",3.706048800432704,5
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"Ryerson University",5.590555565527773,6
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"Western University",4.83466453530695,7
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"University of Calgary",3.196596252241542,8
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"University of Alberta",3.0658675982366757,9
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"Queen's University",4.808446686509555,10
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"York University",4.14659686465874,11
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"University of Guelph",5.245331665501297,12
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"Dalhousie University",4.299145092618912,13
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"Simon Fraser University",3.954114534162029,14
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"Université Laval",3.361187074225979,15
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"Carleton University",3.5968347078566505,16
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"CDI College",12.391230808429402,17
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"Université de Montréal",2.107725173499684,18
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"University of Manitoba",3.3859059231638557,19
2021-05-31,ca,"Canada","All","Education",Top Trending Employers,"University of Victoria",4.563289668153,20
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Teacher",8.5656813179124,1
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Professor",4.001971512479751,2
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Postdoctoral Researcher",3.195651502730806,3
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Software Engineer",2.099990032319512,4
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Project Manager",1.432267286609806,5
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Lecturer",1.1531954870398018,6
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Vice President Finance",0.9995987070781575,7
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Graphic Designer",0.7569332818750102,8
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Communications Coordinator",0.7522738015282837,9
2021-05-31,ca,"Canada","All","Education",Top Trending Jobs,"Data Analyst",0.7294694902125812,10
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Teaching",-1,1
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"JavaScript",-1,2
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Project Planning",-1,3
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Adobe Illustrator",-1,4
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Curriculum Development",-1,5
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Construction Management",-1,6
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Higher Education",-1,7
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Data Analysis",-1,8
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Tableau",-1,9
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Scientific Writing",-1,10
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Financial Analysis",-1,11
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Event Planning",-1,12
2021-05-31,ca,"Canada","All","Education",Top Trending Skills,"Strategic Communications",-1,13
