date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Moving Picture Company",50.987136606005215,1
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Sony Pictures Imageworks",17.85279211587553,2
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Digital Domain",31.680009260667553,3
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"DNEG",15.50657727476705,4
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Atomic Cartoons",17.696266803644274,5
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"ICON Creative Studio",21.19834928946578,6
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Mr. X",27.594809787316706,7
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Behaviour Interactive",12.062034852702913,8
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Ubisoft",4.304014692744183,9
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"ubisoft-montreal",4.19785610963096,10
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Framestore",14.15376202424858,11
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Cinesite",11.226882405577172,12
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"CBC",2.9501162966888432,13
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Bell Media",2.210093111204009,14
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Employers,"Corus Entertainment",3.6312269747490076,15
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Animator",5.6628222019786865,1
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Software Engineer",4.858182051753874,2
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Artist",3.8791500580411933,3
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Compositor",3.2182975263944362,4
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Lighting Artist",2.699477734270852,5
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Production Coordinator",2.6554113487325295,6
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Visual Effects Artist",2.305963115503591,7
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"3D Animator",2.204592171749745,8
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Layout Artist",1.9033753428103182,9
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Editor",1.463300029087158,10
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Environment Artist",1.3893433566535105,11
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Game Designer",1.195422445998555,12
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Project Manager",1.044814202461269,13
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Storyboard Artist",1.037609514416415,14
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"3D Artist",0.8581657635108991,15
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Production Manager",0.8506226523414055,16
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Writer",0.848185026215912,17
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Game Developer",0.8388045671430606,18
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Digital Compositor",0.838463355817899,19
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Jobs,"Technical Director",0.8182545757744192,20
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"JavaScript",-1,1
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Project Planning",-1,2
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Writing",-1,3
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Construction Management",-1,4
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Editing",-1,5
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Production Management",-1,6
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Game Design",-1,7
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Character Animation",-1,8
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"ZBrush",-1,9
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Computer Animation",-1,10
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Texturing",-1,11
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Game Development",-1,12
2021-05-31,ca,"Canada","All","Entertainment",Top Trending Skills,"Level Design",-1,13
