date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"RBC",4.661987258599052,1
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"Desjardins",5.900811403242252,2
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"CIBC",5.168075929337617,3
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"TD",3.175288031056573,4
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"BMO Financial Group",6.151897992207511,5
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"KPMG Canada",7.568685504702407,6
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"Sun Life",4.640042889501719,7
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"National Bank of Canada",3.0580740230476735,8
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"iA Financial Group (Industrial Alliance)",6.5527310472327045,9
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"Morgan Stanley",12.401912458958838,10
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"TD Insurance",8.196486759238818,11
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"Canada Life",4.077424215675277,12
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"RBC Capital Markets",5.600073382381048,13
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"The Co-operators",4.972574771557619,14
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"BDO Canada",4.73871212021751,15
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"RBC Dominion Securities",5.296715733253535,16
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"HSBC",3.35200242196374,17
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"Aviva Canada",5.219815180109336,18
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"Citi",6.41278966853213,19
2021-05-31,ca,"Canada","All","Finance",Top Trending Employers,"Economical Insurance",7.452787582774642,20
2021-05-31,ca,"Canada","All","Finance",Top Trending Jobs,"Financial Advisor",3.7587228963768404,1
2021-05-31,ca,"Canada","All","Finance",Top Trending Jobs,"Software Engineer",3.439356399923691,2
