date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Alberta Health Services",3.345661659707258,1
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Fraser Health Authority",5.590240168129115,2
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"University Health Network",4.705517840520004,3
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Vancouver Coastal Health",4.654612467688455,4
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Nova Scotia Health Authority",4.72404008717935,5
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Provincial Health Services Authority",4.5897450048117285,6
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"CBI Health",7.016371727664879,7
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"The Hospital for Sick Children",3.7784349672034283,8
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"CIUSSS du Centre-Sud-de-l'Île-de-Montréal",5.262598819350565,9
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Island Health - Vancouver Island Health Authority",5.1149875185167994,10
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Sunnybrook",4.450110137700614,11
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"The Ottawa Hospital",5.3153814260328405,12
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"LifeLabs Medical Laboratory Services",7.968786856809997,13
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Trillium Health Partners",4.526364159875306,14
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Bayshore HealthCare",7.675556935928168,15
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"London Health Sciences Centre (LHSC)",5.031836399011203,16
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"GSK",5.943895568255043,17
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Phreesia",27.264124335632072,18
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"Mackenzie Health",8.153711613409108,19
2021-05-31,ca,"Canada","All","Health Care",Top Trending Employers,"IQVIA",13.627646845354837,20
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Nurse",7.826664588279112,1
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Support Associate",1.722636864928138,2
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Software Engineer",1.5464944950820128,3
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Project Manager",1.449369467139171,4
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Social Worker",1.2601284455967716,5
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Administrative Officer",0.9049675090987389,6
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Pharmacist",0.7943699714624863,7
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Laboratory Technician",0.7671051740689677,8
2021-05-31,ca,"Canada","All","Health Care",Top Trending Jobs,"Customer Service Representative",0.7568072440362242,9
