date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"Klick",15.1354630480109,1
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"Cossette",14.327942400829894,2
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"Hootsuite",11.926123271259312,3
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"Sid Lee",14.745227648962347,4
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"Critical Mass",17.08566918736873,5
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"Mosaic North America",6.635790754086081,6
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"lg2",16.498025727360904,7
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"Vidyard",21.120832074954293,8
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Employers,"dentsu international",17.798817896155388,9
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Account Manager",4.051555948997505,1
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Graphic Designer",3.3489196608198712,2
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Project Manager",2.7385051583456397,3
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Writer",2.3457436630624344,4
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Account Executive",2.293116500050103,5
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Account Coordinator",2.217504458402163,6
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Editor",2.1162858114210774,7
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Software Engineer",2.0795441025282555,8
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Art Director",1.8816365918486078,9
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Copywriter",1.8357529841092897,10
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Web Developer",1.6707103745189726,11
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Account Director",1.3217624766687066,12
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Marketing Coordinator",1.1524240976968148,13
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Salesperson",1.1380802826464502,14
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Social Media Coordinator",1.0889005204110267,15
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Social Media Manager",1.0045662561065063,16
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Full Stack Engineer",0.9541994000913283,17
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Data Analyst",0.9059667147231767,18
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Creative Director",0.9033376079682727,19
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Jobs,"Frontend Developer",0.8996169820618807,20
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Time Management",-1,1
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"JavaScript",-1,2
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Project Planning",-1,3
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Adobe Illustrator",-1,4
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Account Management",-1,5
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Writing",-1,6
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Construction Management",-1,7
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Editing",-1,8
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Cascading Style Sheets (CSS)",-1,9
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Data Analysis",-1,10
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"React.js",-1,11
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Node.js",-1,12
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Social Media Marketing",-1,13
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Social Media",-1,14
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Copywriting",-1,15
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Art Direction",-1,16
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Tableau",-1,17
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Adobe Creative Suite",-1,18
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"Marketing Strategy",-1,19
2021-05-31,ca,"Canada","All","Media & Communications",Top Trending Skills,"SASS",-1,20
