date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"eXp Realty",11.070576079390278,1
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"Royal LePage",2.4114758569575456,2
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"CENTURY 21®",4.050341115849325,3
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"Right At Home Realty Inc., Brokerage",3.66947989585008,4
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"QuadReal Property Group",6.090378816521383,5
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"RE/MAX",2.052905642323365,6
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"Ivanhoé Cambridge",6.368579241514667,7
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"Keller Williams Realty, Inc.",5.238641104969667,8
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"Royal LePage Signature Realty, Toronto",7.267545787552619,9
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Employers,"CBRE",3.990349045319285,10
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Real Estate Agent",22.46001276294047,1
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Salesperson",6.1825592875539686,2
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Real Estate Broker",3.870176732701311,3
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Property Manager",3.0537514566368396,4
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Project Manager",2.8300827561395216,5
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Accountant",1.8833388924390058,6
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Marketing Coordinator",1.6564414371660305,7
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Financial Analyst",1.2074553239580823,8
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Jobs,"Property Administrator",1.1208361275966223,9
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Time Management",-1,1
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Project Planning",-1,2
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Financial Reporting",-1,3
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Construction Management",-1,4
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Residential Real Estate",-1,5
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Financial Analysis",-1,6
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Working with First-Time Home Buyers",-1,7
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Social Media Marketing",-1,8
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Property Management",-1,9
2021-05-31,ca,"Canada","All","Real Estate",Top Trending Skills,"Real Estate Transactions",-1,10
