date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,fr,"France","All","Education",Top Trending Employers,"OpenClassrooms",13.17539056899377,1
2021-05-31,fr,"France","All","Education",Top Trending Employers,"CNRS",4.072961612226053,2
2021-05-31,fr,"France","All","Education",Top Trending Employers,"CEA",3.5762741572150674,3
2021-05-31,fr,"France","All","Education",Top Trending Employers,"INSERM",3.893207086379385,4
2021-05-31,fr,"France","All","Education",Top Trending Employers,"studi-digital-education",18.42712480429679,5
2021-05-31,fr,"France","All","Education",Top Trending Employers,"Inria",5.135459844427207,6
2021-05-31,fr,"France","All","Education",Top Trending Employers,"Aix-Marseille University",3.45925239422384,7
2021-05-31,fr,"France","All","Education",Top Trending Employers,"Institut Pasteur",5.393207592886371,8
2021-05-31,fr,"France","All","Education",Top Trending Employers,"Sciences Po",1.935650010078264,9
2021-05-31,fr,"France","All","Education",Top Trending Employers,"onlineformapro",33.84003545474463,10
2021-05-31,fr,"France","All","Education",Top Trending Employers,"ESSEC Business School",5.951444599375574,11
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Postdoctoral Researcher",5.487591975084435,1
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Project Manager",3.7745017894775246,2
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Research Engineer",3.241002005711889,3
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Education Instructor",3.212566188821877,4
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Teacher",3.1719936613851076,5
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Communications Manager",2.9462274271834255,6
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Professor",1.872525676850258,7
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Web Developer",1.8262945425377812,8
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Design Engineer",1.4493270146699453,9
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Engineering Associate",1.3574840236846981,10
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Project Associate",1.2113649288071082,11
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Research Analyst",1.1517227316945893,12
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Lecturer",1.124675364484402,13
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Community Manager",1.0843360071976218,14
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Research And Development Engineer",0.9499490180999851,15
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Software Engineer",0.9385502639061929,16
2021-05-31,fr,"France","All","Education",Top Trending Jobs,"Human Resources Manager",0.8620637118011929,17
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Project Management",-1,1
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Teaching",-1,2
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Social Media",-1,3
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Recruiting",-1,4
2021-05-31,fr,"France","All","Education",Top Trending Skills,"JavaScript",-1,5
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Java",-1,6
2021-05-31,fr,"France","All","Education",Top Trending Skills,"PHP",-1,7
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Git",-1,8
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Internal Communications",-1,9
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Training Facilitation",-1,10
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Community Management",-1,11
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Research and Development (R&D)",-1,12
2021-05-31,fr,"France","All","Education",Top Trending Skills,"AutoCAD",-1,13
2021-05-31,fr,"France","All","Education",Top Trending Skills,"MATLAB",-1,14
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Molecular Biology",-1,15
2021-05-31,fr,"France","All","Education",Top Trending Skills,"Quantum GIS",-1,16
2021-05-31,fr,"France","All","Education",Top Trending Skills,"CATIA",-1,17
