date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,fr,"France","All","Entertainment",Top Trending Employers,"Ubisoft",3.717877011421221,1
2021-05-31,fr,"France","All","Entertainment",Top Trending Employers,"France Télévisions",2.049611434569593,2
2021-05-31,fr,"France","All","Entertainment",Top Trending Employers,"Radio France",3.2938538530497663,3
2021-05-31,fr,"France","All","Entertainment",Top Trending Employers,"CANAL+ Group",2.029328225873094,4
2021-05-31,fr,"France","All","Entertainment",Top Trending Employers,"SUPERPROD",37.385389208207975,5
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Journalist",5.013999553858067,1
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Animator",3.7773624974914677,2
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Artist",2.6717632494464274,3
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Community Manager",2.4244065626664457,4
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Production Manager",2.391795974776728,5
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Communications Manager",2.343076550614607,6
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"3D Animator",2.180806520342276,7
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Project Manager",1.8952789262498313,8
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Software Engineer",1.7242508074411962,9
2021-05-31,fr,"France","All","Entertainment",Top Trending Jobs,"Editor",1.5769987675283121,10
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Project Management",-1,1
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Social Media",-1,2
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Java",-1,3
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Git",-1,4
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Internal Communications",-1,5
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Journalism",-1,6
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Writing",-1,7
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Digital Media",-1,8
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Community Management",-1,9
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Continuous Improvement",-1,10
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Production Management",-1,11
2021-05-31,fr,"France","All","Entertainment",Top Trending Skills,"Contemporary Art",-1,12
