date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"BNP Paribas",1.9139456590994637,1
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"AXA",3.3243841514231924,2
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"La Banque Postale",2.2293094724950646,3
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Banque de France",5.738200589890946,4
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Natixis",2.4024258599657093,5
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Crédit Agricole CIB",3.1036082344755886,6
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Bpifrance",4.163999507940018,7
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"KPMG France",3.2134059215446404,8
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Crédit Mutuel",2.4510920458176324,9
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"LCL",1.3805650234468347,10
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Generali",3.3420097946417258,11
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Societe Generale Corporate and Investment Banking - SGCIB",2.1065784190252086,12
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"MACIF",3.310128222911561,13
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"MAIF",3.3711780908379905,14
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"caisse-epargne",4.310840212662616,15
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"AXA en France",2.075114425348944,16
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Allianz France",2.0899976025479177,17
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Covéa",3.7296748923882683,18
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"AG2R LA MONDIALE",2.4477871247602963,19
2021-05-31,fr,"France","All","Finance",Top Trending Employers,"Crédit Mutuel Arkéa",3.051738150856126,20
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Wealth Management Advisor",3.209946470113418,1
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Sales Advisor",3.0873160178175896,2
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Client Advisor",3.027769253899315,3
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Customer Associate",2.972933171351782,4
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Financial Advisor",2.790844016527178,5
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Project Manager",1.9739462567060766,6
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Legal Officer",1.7150041791824642,7
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Financial Analyst",1.6676456767848395,8
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Software Engineer",1.507951422132337,9
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Customer Advisor",1.4880975264765628,10
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Business Manager",1.3374335693153794,11
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Mortgage Broker",1.186386788592177,12
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Business Account Executive",1.1356305764422714,13
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Research Analyst",1.0083974957789554,14
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Salesperson",1.0048128858794818,15
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Communications Manager",0.9724704688082871,16
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Account Manager",0.9616986550668283,17
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Data Analyst",0.8612459082328204,18
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Business Analyst",0.83532993620064,19
2021-05-31,fr,"France","All","Finance",Top Trending Jobs,"Mergers and Acquisitions Analyst",0.8038042522058707,20
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Project Management",-1,1
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Negotiation",-1,2
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Social Media",-1,3
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Java",-1,4
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Git",-1,5
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Internal Communications",-1,6
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Legal Research",-1,7
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Legal Advice",-1,8
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Wealth Management",-1,9
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Account Management",-1,10
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Assurance",-1,11
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Commerce",-1,12
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"AutoCAD",-1,13
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Financial Analysis",-1,14
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"SQL",-1,15
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Agile Methodologies",-1,16
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Tableau",-1,17
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"R (Programming Language)",-1,18
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Corporate Finance",-1,19
2021-05-31,fr,"France","All","Finance",Top Trending Skills,"Team Spirit",-1,20
