date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"Greater Paris University Hospitals - AP-HP",2.6939132117042504,1
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"Sanofi",2.2575636613950785,2
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"Sanofi Pasteur",3.6552773521218267,3
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"Korian",4.189030015502466,4
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"CHU de Toulouse",6.960421335137973,5
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"Hospices Civils de Lyon",3.875483541393379,6
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"bioMérieux",3.219430161678948,7
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"ORPEA",2.9991518353037376,8
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"Servier",2.5568544560527866,9
2021-05-31,fr,"France","All","Health Care",Top Trending Employers,"Pierre Fabre Group",2.411899413625145,10
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Nurse",3.3685054805674435,1
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Medical Secretary",2.748792689514921,2
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Psychologist",2.5746505943051017,3
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Project Manager",2.511067154399073,4
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Clinical Research Associate",2.3036034882965666,5
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Laboratory Technician",2.149293665224384,6
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Clinical Psychologist",1.5416668628699353,7
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Head of Product",1.5031347011795912,8
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Human Resources Manager",1.3268500713946811,9
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Pharmacist",1.2743890841097059,10
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Dietitian",1.2076970458620881,11
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Medical Sales Representative",1.0930791455530842,12
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Business Manager",0.9734729733882121,13
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Health Services Manager",0.9504775727961922,14
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Product Manager",0.8324603823059362,15
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Nurse Coordinator",0.8122365400660531,16
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Communications Manager",0.7765529743238473,17
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Research And Development Engineer",0.776179965765647,18
2021-05-31,fr,"France","All","Health Care",Top Trending Jobs,"Medical Doctor",0.6800354124517899,19
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Project Management",-1,1
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Social Media",-1,2
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Recruiting",-1,3
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Marketing Strategy",-1,4
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Internal Communications",-1,5
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Nursing",-1,6
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Psychotherapy",-1,7
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Laboratory Skills",-1,8
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Product Launch",-1,9
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Research and Development (R&D)",-1,10
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Pharmaceutics",-1,11
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"MATLAB",-1,12
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Pharmacy",-1,13
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Clinical Trials",-1,14
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Good Clinical Practice (GCP)",-1,15
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Microbiology",-1,16
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Nutrition",-1,17
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Dietetics",-1,18
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Clerical Skills",-1,19
2021-05-31,fr,"France","All","Health Care",Top Trending Skills,"Appointment Scheduling",-1,20
