date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,fr,"France","All","Media & Communications",Top Trending Employers,"Jellysmack",38.07048992313945,1
2021-05-31,fr,"France","All","Media & Communications",Top Trending Employers,"Ouest-France",5.350069150370631,2
2021-05-31,fr,"France","All","Media & Communications",Top Trending Employers,"Webedia",6.679646333141489,3
2021-05-31,fr,"France","All","Media & Communications",Top Trending Employers,"JCDecaux",3.9977373942168493,4
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Project Manager",7.331895331163047,1
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Journalist",4.772481027354752,2
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Community Manager",3.3385153689758167,3
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Editor",3.2772490576277127,4
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Art Director",2.9999336059059476,5
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Communications Manager",2.7563245773867906,6
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Graphic Designer",2.512588856791398,7
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Salesperson",2.181746217778693,8
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Writer",1.9927346758455537,9
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Account Manager",1.7026622049032694,10
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Web Developer",1.5617060074036828,11
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Digital Project Manager",1.2059627845702419,12
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Research Analyst",1.0053591809356826,13
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Publicity Director",1.0002354562859632,14
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Social Media Manager",0.9583698817250564,15
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Marketing Manager",0.9314939605262837,16
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Video Editor",0.9292372975683181,17
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Communications Advisor",0.9065499220256882,18
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Account Director",0.8632030322790627,19
2021-05-31,fr,"France","All","Media & Communications",Top Trending Jobs,"Press Secretary",0.817877503531532,20
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Project Management",-1,1
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Negotiation",-1,2
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Social Media",-1,3
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Adobe Illustrator",-1,4
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Adobe InDesign",-1,5
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"JavaScript",-1,6
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"PHP",-1,7
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Internal Communications",-1,8
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Journalism",-1,9
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Art Direction",-1,10
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Marketing Strategy",-1,11
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Writing",-1,12
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Digital Media",-1,13
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Account Management",-1,14
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Community Management",-1,15
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"AutoCAD",-1,16
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Advertising",-1,17
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Digital Marketing",-1,18
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Quantum GIS",-1,19
2021-05-31,fr,"France","All","Media & Communications",Top Trending Skills,"Video Editing",-1,20
