date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"IAD France",4.73656405244514,1
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"FONCIA",5.334769250659361,2
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"Nexity",3.901160024462629,3
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"stéphane-plaza-immobilier",7.454545005091165,4
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"ORPI",4.862251682458467,5
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"safti",4.646674244879617,6
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"Laforêt France",6.411336042204294,7
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"citya immobilier",6.131653935711853,8
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"CENTURY 21®",4.36053406454011,9
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"Efficity",7.703204987866294,10
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"keller-williams-france",10.96867608629247,11
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"Bouygues Immobilier",4.1080552179168235,12
2021-05-31,fr,"France","All","Real Estate",Top Trending Employers,"CAPIFRANCE",4.763952773396983,13
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Real Estate Consultant",18.795385772530725,1
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Real Estate Agent",12.720208153585833,2
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Commercial Associate",3.6233004137221183,3
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Program Manager",2.2177671736683067,4
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Project Manager",1.866109429017789,5
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Accountant",1.690967242501049,6
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Salesperson",1.5842868127334417,7
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Communications Manager",1.5280703405496536,8
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Real Estate Sales Agent",1.3209039177295077,9
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Rental Manager",1.298389173738135,10
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Operations Manager",1.2602600789173957,11
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Property Manager",1.0740469628462672,12
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Sales Advisor",1.0509453904012562,13
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Technical Manager",0.9341222321897498,14
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Director Of Development",0.8480280490046314,15
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Customer Associate",0.819409446724157,16
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Business Manager",0.8102317963578033,17
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Real Estate Developer",0.7662698472817576,18
2021-05-31,fr,"France","All","Real Estate",Top Trending Jobs,"Community Manager",0.7651385918262007,19
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Project Management",-1,1
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Negotiation",-1,2
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Social Media",-1,3
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Internal Communications",-1,4
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Account Reconciliation",-1,5
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Real Estate Transactions",-1,6
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Team Leadership",-1,7
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Assurance",-1,8
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Community Management",-1,9
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Commerce",-1,10
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Operations Management",-1,11
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Program Management",-1,12
2021-05-31,fr,"France","All","Real Estate",Top Trending Skills,"Property Management",-1,13
