date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Technical University of Munich",7.369734204079223,1
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"IU International University of Applied Sciences",14.360598378220207,2
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Karlsruhe Institute of Technology (KIT)",5.661763221789486,3
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Technische Universität Berlin",4.181068253345842,4
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Humboldt University of Berlin",5.811644317520158,5
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"RWTH Aachen University",3.99010643314947,6
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"University of Hamburg",5.309015879392389,7
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"The University of Göttingen",6.1983533027639055,8
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Ruhr University Bochum",5.579696188490688,9
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"University of Stuttgart",4.968529858164944,10
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Technische Universität Dresden",4.100145635628684,11
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Leibniz Universität Hannover",6.391108537397221,12
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Bundeswehr University Munich",13.810884081038012,13
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"The University of Bonn",6.042546905436969,14
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"University of Cologne",4.806008061186256,15
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Heidelberg University",6.687219371533053,16
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"Leipzig University",7.218528147041224,17
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"University of Düsseldorf",6.250388217009268,18
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"WBS TRAINING AG",8.825809153776532,19
2021-05-31,de,"Germany","All","Education",Top Trending Employers,"University of Münster",5.5196680250845285,20
2021-05-31,de,"Germany","All","Education",Top Trending Jobs,"Scientific Officer",14.812923634117439,1
2021-05-31,de,"Germany","All","Education",Top Trending Jobs,"Lecturer",14.62265159409531,2
2021-05-31,de,"Germany","All","Education",Top Trending Jobs,"Postdoctoral Researcher",9.563714523819412,3
2021-05-31,de,"Germany","All","Education",Top Trending Jobs,"Professor",4.811132205321094,4
2021-05-31,de,"Germany","All","Education",Top Trending Jobs,"Project Manager",3.2745475557004244,5
2021-05-31,de,"Germany","All","Education",Top Trending Jobs,"Teacher",1.8274213147775755,6
2021-05-31,de,"Germany","All","Education",Top Trending Skills,"Project Management",-1,1
2021-05-31,de,"Germany","All","Education",Top Trending Skills,"Project Planning",-1,2
2021-05-31,de,"Germany","All","Education",Top Trending Skills,"Teaching",-1,3
2021-05-31,de,"Germany","All","Education",Top Trending Skills,"Molecular Biology",-1,4
2021-05-31,de,"Germany","All","Education",Top Trending Skills,"Public Speaking",-1,5
2021-05-31,de,"Germany","All","Education",Top Trending Skills,"LaTeX",-1,6
