date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,de,"Germany","All","Entertainment",Top Trending Employers,"Mediengruppe RTL Deutschland",9.586030152822996,1
2021-05-31,de,"Germany","All","Entertainment",Top Trending Jobs,"Editor",6.538357024739054,1
2021-05-31,de,"Germany","All","Entertainment",Top Trending Jobs,"Project Manager",3.060238656265329,2
2021-05-31,de,"Germany","All","Entertainment",Top Trending Jobs,"3D Artist",2.4719212942172044,3
2021-05-31,de,"Germany","All","Entertainment",Top Trending Jobs,"Software Engineer",2.4357465095364152,4
2021-05-31,de,"Germany","All","Entertainment",Top Trending Skills,"Project Management",-1,1
2021-05-31,de,"Germany","All","Entertainment",Top Trending Skills,"Java",-1,2
2021-05-31,de,"Germany","All","Entertainment",Top Trending Skills,"Project Planning",-1,3
2021-05-31,de,"Germany","All","Entertainment",Top Trending Skills,"Editing",-1,4
2021-05-31,de,"Germany","All","Entertainment",Top Trending Skills,"Journalism",-1,5
2021-05-31,de,"Germany","All","Entertainment",Top Trending Skills,"3D",-1,6
2021-05-31,de,"Germany","All","Entertainment",Top Trending Skills,"3D Modeling",-1,7
