date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"BioNTech SE",13.984806819835512,1
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Siemens Healthineers",2.2864045562017172,2
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Charité",4.643070509660733,3
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Roche",2.0521910218351453,4
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"CureVac",16.075390771788665,5
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Abbott",4.201342300508264,6
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Bayer Pharmaceuticals",3.21601124753803,7
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"AbbVie",5.115820496813575,8
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Sanofi",2.578142822628252,9
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Dräger",5.287554653551555,10
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Bristol Myers Squibb",7.7575675953681245,11
2021-05-31,de,"Germany","All","Health Care",Top Trending Employers,"Vetter Pharma",6.585164963348195,12
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Project Manager",3.384343120920727,1
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Software Engineer",2.2039091599578136,2
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Sales Manager",2.1865318697275504,3
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Pharmacist",1.9649500096373007,4
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Product Manager",1.842979272049731,5
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Nurse",1.502681694511621,6
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Quality Assurance Manager",1.4903710153193448,7
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Medical Doctor",1.1912167820702706,8
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Salesperson",1.1891337828200697,9
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Psychologist",1.0758426290100966,10
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Account Manager",1.0536560618895707,11
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Regulatory Affairs Manager",1.0482988367214172,12
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Key Account Manager",1.0470744861863275,13
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Medical Director",0.9707686854741392,14
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Clinical Research Associate",0.93443261176298,15
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Marketing Manager",0.926264520334565,16
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Scientific Officer",0.8984658477040911,17
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Recruiter",0.8846077728392545,18
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Postdoctoral Researcher",0.8338127629451075,19
2021-05-31,de,"Germany","All","Health Care",Top Trending Jobs,"Business Development Manager",0.8119549560556608,20
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Project Management",-1,1
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Java",-1,2
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Project Planning",-1,3
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Account Management",-1,4
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Product Development",-1,5
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"International Sales",-1,6
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Recruiting",-1,7
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Online Marketing",-1,8
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Molecular Biology",-1,9
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Quality Management",-1,10
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"LaTeX",-1,11
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Clinical Research",-1,12
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Nursing",-1,13
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Good Clinical Practice (GCP)",-1,14
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Clinical Trials",-1,15
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Psychotherapy",-1,16
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Pharmacy",-1,17
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Critical Care Nursing",-1,18
2021-05-31,de,"Germany","All","Health Care",Top Trending Skills,"Regulatory Affairs",-1,19
