date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Tesla",28.02774648832078,1
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"BMW Group",2.183825964455861,2
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Porsche AG",4.086309840511669,3
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"ZF Group",2.5716228864900805,4
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Volkswagen AG",1.8341867044942122,5
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"German Aerospace Center (DLR)",3.5339312105403025,6
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"GEA Group",6.705434819305554,7
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Daimler AG",0.8422362670635594,8
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Continental",0.9202255458364179,9
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Lilium",10.044555965285033,10
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Evonik",2.374605068610954,11
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Schaeffler",2.2932328093641425,12
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Nordex Group",8.223641037198163,13
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"EDAG Group",3.8009274346820527,14
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"KION Group",12.388115909437717,15
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Bertrandt Group",2.766996196644141,16
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Mercedes-AMG GmbH",7.63235723930699,17
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"Covestro",2.579117498847793,18
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Employers,"DRÄXLMAIER Group",4.83552460615152,19
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Project Manager",4.425045593330667,1
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Sales Manager",4.121169477625484,2
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Software Engineer",3.2379508162182344,3
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Project Engineer",2.2477499076269485,4
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Development Engineer",2.1998110311034136,5
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Key Account Manager",2.037148410987951,6
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Product Manager",1.7490067220601968,7
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Project Control Manager",1.4285828246135763,8
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Marketing Manager",1.1684463385966812,9
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Sales Engineer",1.1654353712381658,10
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Business Development Manager",1.048297710543244,11
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Head Of Sales",0.9169283504894525,12
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Buyer",0.9103476477786276,13
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Recruiter",0.90737193365774,14
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Account Manager",0.9036944711002378,15
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"System Engineer",0.8706075674606749,16
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Human Resources Manager",0.8006040422672253,17
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Human Resources Business Partner",0.7429227809931804,18
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Process Engineer",0.7046078828676509,19
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Jobs,"Sales Director",0.5997582414352762,20
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Project Management",-1,1
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Java",-1,2
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Project Planning",-1,3
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Account Management",-1,4
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Product Development",-1,5
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"International Sales",-1,6
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Recruiting",-1,7
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Online Marketing",-1,8
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"MATLAB",-1,9
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Automotive",-1,10
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Project Engineering",-1,11
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Systems Engineering",-1,12
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Project Leadership",-1,13
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Virtualization",-1,14
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Sales Engineering",-1,15
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Purchasing Processes",-1,16
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Process Optimization",-1,17
2021-05-31,de,"Germany","All","Manufacturing",Top Trending Skills,"Process Engineering",-1,18
