date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Employers,"Scholz & Friends",12.581358099741335,1
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Project Manager",7.497616284199846,1
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Account Manager",5.252758431192817,2
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Art Director",3.5966800922258164,3
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Editor",3.299096566480785,4
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Social Media Manager",2.941934269065487,5
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Marketing Manager",2.916618682268161,6
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Sales Manager",2.104897013093698,7
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Copywriter",1.9145257938517606,8
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Software Engineer",1.5796233962796582,9
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Online Marketing Manager",1.493962574315034,10
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Graphic Designer",1.3919915375906455,11
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Key Account Manager",1.1124825340036242,12
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Online Editor",1.0899594675358857,13
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Content Manager",1.0745948329586372,14
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Public Relations Consultant",1.0452334701400883,15
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Account Executive",0.99647043996412,16
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Creative Director",0.9840062988153052,17
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Campaign Manager",0.8721211409649601,18
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Jobs,"Writer",0.8311852724197285,19
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Project Management",-1,1
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Java",-1,2
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Project Planning",-1,3
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Account Management",-1,4
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"International Sales",-1,5
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Online Marketing",-1,6
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Editing",-1,7
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Adobe InDesign",-1,8
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Journalism",-1,9
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Art Direction",-1,10
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Social Media Marketing",-1,11
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Search Engine Optimization (SEO)",-1,12
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Writing",-1,13
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Copywriting",-1,14
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Content Management",-1,15
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Instagram",-1,16
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Concept Development",-1,17
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Content Marketing",-1,18
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Corporate Communications",-1,19
2021-05-31,de,"Germany","All","Media & Communications",Top Trending Skills,"Software as a Service (SaaS)",-1,20
