date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"SAP",2.9177415675479863,1
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Accenture",7.280742070235617,2
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Delivery Hero",10.015608460754768,3
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Capgemini",6.75812497468761,4
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Accenture DACH",11.4806567172941,5
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Microsoft",3.73776402567796,6
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",5.719844138672441,7
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Concentrix",15.37098306684106,8
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Just Eat Takeaway.com",23.65938545761227,9
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"HCL Technologies",16.047801747146515,10
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"about-you-gmbh",10.675800860569383,11
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"AUTO1 Group",10.169316492331436,12
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"CGI",4.00163688004015,13
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"CompuGroup Medical SE & Co. KGaA",15.56524944048796,14
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"OTTO GmbH & Co KG",4.686409638764388,15
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"msg",5.22240452954958,16
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Wolt",41.24638625300515,17
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"ALTEN GmbH / ALTEN SW GmbH",10.560984783992474,18
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"Sopra Steria",6.868511495253365,19
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Employers,"SVA System Vertrieb Alexander GmbH",6.27234454187849,20
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Software Engineer",9.356534992313296,1
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Project Manager",2.988327879056601,2
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Account Manager",2.1250692116971854,3
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Sales Manager",2.090108069710971,4
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Information Technology Consultant",1.8314953813012675,5
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Product Manager",1.8165877636444177,6
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Marketing Manager",1.5373687981270159,7
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Frontend Developer",1.3523396284655813,8
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Business Development Manager",1.181552231924475,9
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Account Executive",1.1764084664136647,10
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Recruiter",1.1184084504039504,11
2021-05-31,de,"Germany","All","Software & IT Services",Top Trending Jobs,"Product Owner",1.0850087005984939,12
