date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,in,"India","All","Education",Top Trending Employers,"Vedantu",15.306009933735574,1
2021-05-31,in,"India","All","Education",Top Trending Employers,"Unacademy",14.284391284626746,2
2021-05-31,in,"India","All","Education",Top Trending Employers,"upGrad",15.772207476306072,3
2021-05-31,in,"India","All","Education",Top Trending Employers,"PlanetSpark",67.29898855071615,4
2021-05-31,in,"India","All","Education",Top Trending Employers,"Bada Business Pvt. Ltd. ",18.46837171761387,5
2021-05-31,in,"India","All","Education",Top Trending Employers,"Great Learning",21.414416423354673,6
2021-05-31,in,"India","All","Education",Top Trending Employers,"Shine Projects",112.3346650990861,7
2021-05-31,in,"India","All","Education",Top Trending Employers,"Toppr",12.282818053014912,8
2021-05-31,in,"India","All","Education",Top Trending Employers,"Syngene International Limited",5.768311257611347,9
2021-05-31,in,"India","All","Education",Top Trending Employers,"Simplilearn",12.817575388771784,10
2021-05-31,in,"India","All","Education",Top Trending Employers,"Cuemath",12.058928340535866,11
2021-05-31,in,"India","All","Education",Top Trending Employers,"Doubtnut",28.44057285032066,12
2021-05-31,in,"India","All","Education",Top Trending Employers,"Extramarks Education India Pvt. Ltd.",5.3414458661875255,13
2021-05-31,in,"India","All","Education",Top Trending Employers,"Indian Institute of Technology, Bombay",4.543859511552299,14
2021-05-31,in,"India","All","Education",Top Trending Employers,"Classplus ",28.589849970912905,15
2021-05-31,in,"India","All","Education",Top Trending Employers,"Internshala",15.803223796687,16
2021-05-31,in,"India","All","Education",Top Trending Employers,"Embibe",8.256044165485337,17
2021-05-31,in,"India","All","Education",Top Trending Employers,"Indian Institute of Technology, Madras",3.5813745908932755,18
2021-05-31,in,"India","All","Education",Top Trending Employers,"Aakash Educational Services Limited",4.126192182091927,19
2021-05-31,in,"India","All","Education",Top Trending Employers,"K12 Techno Services Pvt. Ltd.",14.844662155604546,20
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Campus Ambassador",7.7366963888590226,1
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Business Development Executive",6.6772001654488475,2
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Professor",6.51781335003032,3
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Teacher",3.986673477670614,4
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Content Writer",2.560734997748657,5
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Software Engineer",2.2282387677384836,6
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Influencer",2.1958358647921625,7
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Academic Advisor",2.0178167352503364,8
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Web Developer",1.5881334523782584,9
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Placement Coordinator",1.5076655956834288,10
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Business Development Manager",1.4710555634396203,11
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Business Manager",1.33925520930504,12
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Business Consultant",1.2473905951404092,13
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Graphic Designer",1.2159300203362926,14
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Human Resources Manager",1.1729636580899447,15
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Recruiter",0.9571161241143754,16
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Human Resources Executive",0.9290991714682892,17
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Secretary",0.8541685950437713,18
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Data Analyst",0.8495014176988684,19
2021-05-31,in,"India","All","Education",Top Trending Jobs,"Salesperson",0.81096082952646,20
2021-05-31,in,"India","All","Education",Top Trending Skills,"SQL",-1,1
2021-05-31,in,"India","All","Education",Top Trending Skills,"JavaScript",-1,2
2021-05-31,in,"India","All","Education",Top Trending Skills,"Teaching",-1,3
2021-05-31,in,"India","All","Education",Top Trending Skills,"Adobe Illustrator",-1,4
2021-05-31,in,"India","All","Education",Top Trending Skills,"Recruiting",-1,5
2021-05-31,in,"India","All","Education",Top Trending Skills,"Cascading Style Sheets (CSS)",-1,6
2021-05-31,in,"India","All","Education",Top Trending Skills,"Team Leadership",-1,7
2021-05-31,in,"India","All","Education",Top Trending Skills,"Higher Education",-1,8
2021-05-31,in,"India","All","Education",Top Trending Skills,"Employee Relations",-1,9
2021-05-31,in,"India","All","Education",Top Trending Skills,"Data Analysis",-1,10
2021-05-31,in,"India","All","Education",Top Trending Skills,"Employee Engagement",-1,11
2021-05-31,in,"India","All","Education",Top Trending Skills,"Web Content Writing",-1,12
2021-05-31,in,"India","All","Education",Top Trending Skills,"Writing",-1,13
2021-05-31,in,"India","All","Education",Top Trending Skills,"Screening",-1,14
2021-05-31,in,"India","All","Education",Top Trending Skills,"Tableau",-1,15
2021-05-31,in,"India","All","Education",Top Trending Skills,"Lead Generation",-1,16
2021-05-31,in,"India","All","Education",Top Trending Skills,"Educational Leadership",-1,17
2021-05-31,in,"India","All","Education",Top Trending Skills,"Company Secretarial Work",-1,18
2021-05-31,in,"India","All","Education",Top Trending Skills,"Sales Management",-1,19
2021-05-31,in,"India","All","Education",Top Trending Skills,"C (Programming Language)",-1,20
