date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,in,"India","All","Entertainment",Top Trending Employers,"Technicolor",8.644958107507964,1
2021-05-31,in,"India","All","Entertainment",Top Trending Employers,"Moving Picture Company",10.505383885448948,2
2021-05-31,in,"India","All","Entertainment",Top Trending Employers,"Mood Indigo IIT Bombay",28.340104356910032,3
2021-05-31,in,"India","All","Entertainment",Top Trending Employers,"DNEG",4.619536960053574,4
2021-05-31,in,"India","All","Entertainment",Top Trending Employers,"Zee Entertainment Enterprises Limited",3.7145444595834243,5
2021-05-31,in,"India","All","Entertainment",Top Trending Employers,"Festember",27.821906210607537,6
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Campus Ambassador",5.310927629086776,1
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Artist",4.727145310867402,2
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Content Writer",4.452883631217305,3
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Software Engineer",3.82413999293774,4
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"3D Animator",1.9648386634084234,5
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Graphic Designer",1.9331149702569304,6
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Video Editor",1.8992139208769347,7
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"3D Artist",1.8115498668420673,8
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Visual Effects Artist",1.7565174160506452,9
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Animator",1.6842602287389898,10
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Editor",1.4381764306506437,11
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Subeditor",1.1832502315528663,12
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Lighting Artist",1.1799843473857035,13
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Game Tester",1.1778162319258727,14
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Marketing Manager",1.1728831450510135,15
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Production Coordinator",1.157453237417994,16
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Writer",0.9504766174722132,17
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Product Manager",0.9464516988456012,18
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Social Media Manager",0.8475939477788068,19
2021-05-31,in,"India","All","Entertainment",Top Trending Jobs,"Human Resources Manager",0.780255736132403,20
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"SQL",-1,1
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"JavaScript",-1,2
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Adobe Illustrator",-1,3
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Employee Relations",-1,4
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Employee Engagement",-1,5
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Marketing Strategy",-1,6
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Web Content Writing",-1,7
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Writing",-1,8
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Video Editing",-1,9
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Editing",-1,10
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Creative Writing",-1,11
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Adobe Premiere Pro",-1,12
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"C (Programming Language)",-1,13
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Social Media Marketing",-1,14
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"C++",-1,15
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Copy Editing",-1,16
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Product Strategy",-1,17
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Digital Marketing",-1,18
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Autodesk Maya",-1,19
2021-05-31,in,"India","All","Entertainment",Top Trending Skills,"Painting",-1,20
