date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,in,"India","All","Finance",Top Trending Employers,"ICICI Bank",5.062298356320289,1
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Axis Bank",4.161565670940741,2
2021-05-31,in,"India","All","Finance",Top Trending Employers,"HDFC Bank",3.17877841441389,3
2021-05-31,in,"India","All","Finance",Top Trending Employers,"JPMorgan Chase & Co.",6.023211533351235,4
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Kotak Mahindra Bank",5.899838312837311,5
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Wells Fargo",7.0463086207410734,6
2021-05-31,in,"India","All","Finance",Top Trending Employers,"IDFC FIRST Bank",7.879379432621728,7
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Morgan Stanley",9.578084939219083,8
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Citi",4.528332929857934,9
2021-05-31,in,"India","All","Finance",Top Trending Employers,"YES BANK",4.343310755321433,10
2021-05-31,in,"India","All","Finance",Top Trending Employers,"IndusInd Bank",4.107876876533193,11
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Bajaj Finserv",4.5871459889056405,12
2021-05-31,in,"India","All","Finance",Top Trending Employers,"HSBC",2.654963570755796,13
2021-05-31,in,"India","All","Finance",Top Trending Employers,"AU SMALL FINANCE BANK",8.45161891292957,14
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Synechron",9.582856589505177,15
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Standard Chartered Bank",2.80206759689945,16
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Barclays",3.6216054561803968,17
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Deutsche Bank",3.4167951141892945,18
2021-05-31,in,"India","All","Finance",Top Trending Employers,"BNY Mellon",4.639222842937026,19
2021-05-31,in,"India","All","Finance",Top Trending Employers,"Paytm",5.137959275764527,20
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Software Engineer",8.57208446855011,1
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Relationship Manager",4.967095631953375,2
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Sales Manager",4.255228156622586,3
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Credit Manager",3.0073873299914613,4
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Financial Analyst",2.302398672505745,5
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Finance Officer",2.1493301432741974,6
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Business Analyst",1.7371956652555354,7
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Sales Executive",1.6151962060809668,8
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Equity Research Analyst",1.557192580974998,9
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Product Manager",1.4511715226127428,10
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Business Development Manager",1.083561855179448,11
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Relationship Officer",0.9730046812332902,12
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Operations Manager",0.9719244223039772,13
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Investment Analyst",0.9491982582991483,14
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Data Analyst",0.8561299664576156,15
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Research Analyst",0.813833310276608,16
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Business Development Executive",0.7980267729215633,17
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Human Resources Manager",0.7466808302997203,18
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Operations Analyst",0.7290550486853352,19
2021-05-31,in,"India","All","Finance",Top Trending Jobs,"Account Manager",0.6962764505225153,20
2021-05-31,in,"India","All","Finance",Top Trending Skills,"SQL",-1,1
2021-05-31,in,"India","All","Finance",Top Trending Skills,"JavaScript",-1,2
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Sales Management",-1,3
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Business Analysis",-1,4
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Team Leadership",-1,5
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Operations Management",-1,6
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Employee Relations",-1,7
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Data Analysis",-1,8
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Employee Engagement",-1,9
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Requirements Gathering",-1,10
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Financial Analysis",-1,11
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Account Management",-1,12
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Market Research",-1,13
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Tableau",-1,14
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Lead Generation",-1,15
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Business Relationship Management",-1,16
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Financial Reporting",-1,17
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Product Strategy",-1,18
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Secondary Research",-1,19
2021-05-31,in,"India","All","Finance",Top Trending Skills,"Equity Research",-1,20
