date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"IQVIA",5.489242604971298,1
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Indegene",16.600012803536618,2
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Optum",8.14005606946557,3
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Bioclinica",17.919730640754494,4
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"GSK",7.843939742443849,5
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Dr. Reddy's Laboratories",3.14569386889354,6
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Cipla",2.731680937787322,7
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"UnitedHealth Group",1.9327792199105143,8
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"SUN PHARMA",2.305433100358352,9
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Zydus Group",4.131027431425769,10
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"R1 RCM",4.744028397445972,11
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Abbott",2.67429075909058,12
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Siemens Healthineers",4.719840229755037,13
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Intas Pharmaceuticals",3.0085404399364872,14
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Novo Nordisk",4.257891715198146,15
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Omega Healthcare Management Services",5.278878029961085,16
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Parexel",3.9379133914768354,17
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Apollo Hospitals",3.146482930537394,18
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Eli Lilly and Company",7.000199133945922,19
2021-05-31,in,"India","All","Health Care",Top Trending Employers,"Glenmark Pharmaceuticals",3.0078274374633223,20
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Software Engineer",5.225497430412066,1
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Drug Safety Associate",3.4810711958517557,2
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Sales Manager",2.2096971521878075,3
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Human Resources Executive",1.700127557751117,4
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Medical Officer",1.303923345560646,5
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Business Development Manager",1.2615911628637322,6
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Human Resources Manager",1.1812712976659578,7
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Business Manager",1.1552534913822778,8
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"General Manager",1.1187330352991485,9
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Sales Executive",1.0325966976647591,10
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Project Manager",0.9862927379995421,11
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Business Analyst",0.9682209161529121,12
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Product Manager",0.8940759582194017,13
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Data Analyst",0.8568264046564269,14
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Psychologist",0.8200385413862338,15
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Medical Doctor",0.8196763270417016,16
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Quality Assurance Manager",0.780246724520907,17
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Business Development Executive",0.7599243968881204,18
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Physiotherapist",0.721224537695799,19
2021-05-31,in,"India","All","Health Care",Top Trending Jobs,"Operations Manager",0.7112460358525639,20
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"SQL",-1,1
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"JavaScript",-1,2
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Sales Management",-1,3
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Business Analysis",-1,4
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Recruiting",-1,5
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Team Leadership",-1,6
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Employee Relations",-1,7
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Operations Management",-1,8
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Requirements Analysis",-1,9
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Data Analysis",-1,10
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Employee Engagement",-1,11
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,12
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Requirements Gathering",-1,13
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Tableau",-1,14
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Lead Generation",-1,15
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Quality System",-1,16
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Product Strategy",-1,17
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Pharmaceutical Sales",-1,18
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Pharmacovigilance",-1,19
2021-05-31,in,"India","All","Health Care",Top Trending Skills,"Counseling Psychology",-1,20
