date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"CARS24",14.053019863520873,1
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Mercedes-Benz Research and Development India",4.053796890521466,2
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Schneider Electric",3.4519669021718706,3
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Enphase Energy",36.106215941020714,4
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Eaton",4.326125014437202,5
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Ford Motor Company",2.586706254966593,6
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Spinny",23.025460687019113,7
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Flex",2.5405794918218207,8
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"GAOTek Inc.",100.39772808953926,9
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"ZF Group",6.079612611858264,10
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Continental",2.576220502005649,11
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Tata Motors",0.9689919696907922,12
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"KPIT",1.8499117966779202,13
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"CarDekho",7.947643524298154,14
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Rockwell Automation",7.3014038697420816,15
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Maruti Suzuki India Limited",1.2596724055488984,16
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Caterpillar Inc.",3.5021803848354898,17
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Aarti Industries Ltd.",4.682157871893014,18
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Airbus",8.675323409011297,19
2021-05-31,in,"India","All","Manufacturing",Top Trending Employers,"Boeing",2.9514175415198847,20
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Software Engineer",4.997456813127748,1
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Design Engineer",3.5546167521600722,2
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Sales Manager",2.781623254115066,3
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Sales Executive",1.8522980320159526,4
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Project Engineer",1.6832027452173843,5
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"General Manager",1.5638278950159852,6
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Human Resources Administrator",1.5466167515525013,7
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Human Resources Executive",1.5240620750062748,8
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Quality Engineer",1.4948894589495014,9
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Production Engineer",1.4692284019901871,10
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Human Resources Manager",1.2106294694935171,11
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Mechanical Engineer",1.16416112810992,12
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Project Manager",1.0754074446093624,13
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Sales Engineer",1.0311140831908143,14
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Business Development Manager",0.9623480554361836,15
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Quality Assurance Engineer",0.9466298538059069,16
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Electrical Engineer",0.9437672251901542,17
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Mechanical Design Engineer",0.8724457538893658,18
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Service Engineer",0.843623215905899,19
2021-05-31,in,"India","All","Manufacturing",Top Trending Jobs,"Quality Assurance Manager",0.7996191723004035,20
2021-05-31,in,"India","All","Manufacturing",Top Trending Skills,"SQL",-1,1
2021-05-31,in,"India","All","Manufacturing",Top Trending Skills,"JavaScript",-1,2
2021-05-31,in,"India","All","Manufacturing",Top Trending Skills,"Sales Management",-1,3
2021-05-31,in,"India","All","Manufacturing",Top Trending Skills,"Recruiting",-1,4
2021-05-31,in,"India","All","Manufacturing",Top Trending Skills,"AutoCAD",-1,5
2021-05-31,in,"India","All","Manufacturing",Top Trending Skills,"Team Leadership",-1,6
2021-05-31,in,"India","All","Manufacturing",Top Trending Skills,"Employee Relations",-1,7
