date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,in,"India","All","Real Estate",Top Trending Employers,"Square Yards",14.3115642338733,1
2021-05-31,in,"India","All","Real Estate",Top Trending Employers,"CBRE",2.7723032823417757,2
2021-05-31,in,"India","All","Real Estate",Top Trending Employers,"JLL India",3.915563371837697,3
2021-05-31,in,"India","All","Real Estate",Top Trending Employers,"Cushman & Wakefield",3.602862995774699,4
2021-05-31,in,"India","All","Real Estate",Top Trending Employers,"Lodha Group",3.1342481918764737,5
2021-05-31,in,"India","All","Real Estate",Top Trending Employers,"Xanadu",19.09840555908861,6
2021-05-31,in,"India","All","Real Estate",Top Trending Employers,"NoBroker.com",6.618430208439081,7
2021-05-31,in,"India","All","Real Estate",Top Trending Employers,"Godrej Properties Limited",2.4206125216301553,8
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Sales Manager",6.453246128584906,1
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Business Development Executive",4.36131698469309,2
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Business Development Manager",3.0198510073216207,3
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"General Manager",2.9880102877682844,4
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Sales Executive",2.6885629889402325,5
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Human Resources Executive",2.6853017381780213,6
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Software Engineer",2.286931349673651,7
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Salesperson",2.2851233510774853,8
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Relationship Manager",2.0230824735664648,9
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Project Manager",1.9726701023689879,10
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Marketing Manager",1.7159588229909442,11
2021-05-31,in,"India","All","Real Estate",Top Trending Jobs,"Civil Engineer",1.651000345038937,12
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"SQL",-1,1
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"JavaScript",-1,2
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"Sales Management",-1,3
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"Recruiting",-1,4
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"Team Leadership",-1,5
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"AutoCAD",-1,6
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"Requirements Analysis",-1,7
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"Marketing Strategy",-1,8
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,9
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"Lead Generation",-1,10
2021-05-31,in,"India","All","Real Estate",Top Trending Skills,"Business Relationship Management",-1,11
