date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Accenture",8.296099064649045,1
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Tata Consultancy Services",4.741398758179959,2
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Capgemini",6.2099003456677755,3
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Infosys",4.20960561075082,4
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"HCL Technologies",4.844127753856376,5
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Wipro Limited",3.733578305376708,6
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Genpact",5.726422166512159,7
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Mindtree",11.50001431482736,8
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"LTI - Larsen & Toubro Infotech",6.7959658576142195,9
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Flipkart",8.90601232588835,10
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Oracle",4.784145668145165,11
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Microsoft",7.553316374039406,12
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Publicis Sapient",12.417074681992617,13
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Persistent Systems",7.9415379513351,14
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Mphasis",5.077287663820521,15
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"Concentrix",4.779696672855698,16
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"FIS",5.8636517920181,17
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"DXC Technology",2.4971038248375055,18
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"L&T Technology Services Limited",4.6256633915469285,19
2021-05-31,in,"India","All","Software & IT Services",Top Trending Employers,"EXL",6.064784224280151,20
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Software Engineer",21.57168705424568,1
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"System Engineer",5.212383518043636,2
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Application Developer",2.4587179948198585,3
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Business Analyst",2.266946938377391,4
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Recruiter",2.0708844505108925,5
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Project Manager",1.1555500485222465,6
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Human Resources Executive",0.960016952871464,7
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Business Development Executive",0.9412089402746642,8
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Quality Assurance Engineer",0.9037059019800696,9
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Data Analyst",0.8480996046692865,10
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Full Stack Engineer",0.8411291268005531,11
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Information Technology Analyst",0.8244838579201954,12
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Application Development Analyst",0.8227486489158309,13
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Test Engineer",0.7919145050136503,14
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Product Manager",0.7803724072434791,15
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Web Developer",0.7672206028130377,16
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Content Writer",0.7592949835816991,17
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Process Associate",0.7282007199248215,18
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Data Engineer",0.7096972059734642,19
2021-05-31,in,"India","All","Software & IT Services",Top Trending Jobs,"Business Development Manager",0.658848732515652,20
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"SQL",-1,1
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,2
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Business Analysis",-1,3
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Recruiting",-1,4
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Cascading Style Sheets (CSS)",-1,5
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Team Leadership",-1,6
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Core Java",-1,7
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Requirements Analysis",-1,8
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Data Analysis",-1,9
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Web Content Writing",-1,10
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,11
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Manual Testing",-1,12
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Requirements Gathering",-1,13
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Java",-1,14
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Writing",-1,15
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Test Automation",-1,16
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Screening",-1,17
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Node.js",-1,18
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"Tableau",-1,19
2021-05-31,in,"India","All","Software & IT Services",Top Trending Skills,"React.js",-1,20
