date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"MyTutor.co.uk",8.142727493953158,1
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Cambridge",3.3791375349792103,2
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Oxford",2.8314261152243088,3
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"King's College London",3.144967368410117,4
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"Imperial College London",2.6874815578201767,5
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"UCL",1.9690239475476903,6
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Bristol",3.4913649214655367,7
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"The University of Edinburgh",2.5323976473829313,8
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"The University of Manchester",2.290104307238255,9
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Leeds",2.417625170641929,10
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"The University of Sheffield",2.7896135306479244,11
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Glasgow",3.02695061406041,12
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Birmingham",2.18040076845049,13
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Nottingham",2.1930738924013684,14
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Exeter",2.567364803813178,15
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Southampton",2.6414726124131893,16
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"Teach First",3.651357385762824,17
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"Queen Mary University of London",2.845405360859631,18
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"QA Ltd",7.0187398649592865,19
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Employers,"Newcastle University",2.4670664423796214,20
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Lecturer",6.650590242053925,1
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Teacher",3.467841773996367,2
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Postdoctoral Researcher",3.4133732351950137,3
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Project Manager",1.643234946265819,4
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Professor",1.3146333752543375,5
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Software Engineer",1.192682979674955,6
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Marketing Executive",0.9928943009547911,7
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"English Tutor",0.7991243500592616,8
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Secretary",0.7800303536081178,9
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Treasurer",0.7485661282776863,10
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Mathematics Tutor",0.742433502367242,11
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Business Development Manager",0.7177221220613763,12
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Headmaster",0.6775202715688848,13
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Support Associate",0.6682237766218267,14
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"English Teacher",0.6498233620908273,15
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Marketing Manager",0.6390277042779857,16
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Account Manager",0.5948420908868643,17
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Human Resources Administrator",0.5640555142826408,18
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Communications Officer",0.5488614941153619,19
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Jobs,"Program Manager",0.5196795477796503,20
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Account Management",-1,1
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Teaching",-1,2
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"JavaScript",-1,3
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Stakeholder Management",-1,4
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Project Delivery",-1,5
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Marketing Strategy",-1,6
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Business-to-Business (B2B)",-1,7
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Higher Education",-1,8
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Curriculum Development",-1,9
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Digital Marketing",-1,10
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Program Management",-1,11
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Email Marketing",-1,12
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Educational Leadership",-1,13
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Mental Health",-1,14
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Recruiting",-1,15
2021-05-31,gb,"United Kingdom","All","Education",Top Trending Skills,"Molecular Biology",-1,16
