date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Sky",3.82306347672358,1
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"BBC",1.8128259541907392,2
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"BBC Studios",8.699339595220057,3
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Framestore",14.804064286120811,4
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Moving Picture Company",27.056852344679765,5
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"ITV",4.217196953946312,6
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Discovery Inc",8.373960462352276,7
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Netflix",12.957646906813592,8
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Global",4.833149200059357,9
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Channel 4",6.098107768231241,10
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Industrial Light & Magic",10.333841922172832,11
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"The Walt Disney Company",3.2989141663359227,12
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Spotify",8.340230516937442,13
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Merlin Entertainments",5.594986012744522,14
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"DNEG",9.62174479620068,15
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Axis Studios",17.524851274079083,16
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"Cinesite",39.896921416248304,17
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Employers,"ODEON Cinemas Group",5.575518624137034,18
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Software Engineer",3.1776705004342736,1
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Production Coordinator",1.8977019768551564,2
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Artist",1.791632182606996,3
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Account Manager",1.6911177221802682,4
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Editor",1.6483972933447937,5
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Writer",1.625700254363724,6
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Animator",1.596271388280312,7
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Production Manager",1.3659949732767713,8
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Project Manager",1.2694180071537262,9
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Compositor",1.2377143716905255,10
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Graphic Designer",1.0483234581468028,11
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Production Runner",1.0003095359420278,12
2021-05-31,gb,"United Kingdom","All","Entertainment",Top Trending Jobs,"Video Editor",0.9839008339030946,13
