date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"HSBC",1.5651032866517895,1
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Citi",3.724301237367484,2
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"JPMorgan Chase & Co.",4.000565521778126,3
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Barclays",1.5943922489862044,4
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Lloyds Banking Group",1.0610570681381108,5
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Morgan Stanley",3.7817367549922243,6
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Capco",17.393750073183114,7
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Phoenix Group",15.63260136819358,8
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Aviva",2.4521165752562393,9
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Legal & General",4.104394783026595,10
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"J.P. Morgan",2.2046867967799586,11
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Monzo Bank",13.53018602247093,12
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Deutsche Bank",1.7965798083191942,13
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"UBS",2.082401592932743,14
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Gallagher",4.838983289835937,15
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Bloomberg LP",3.0106298471931945,16
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Starling Bank",14.52366078856275,17
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Checkout.com",17.3167517904743,18
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"Nationwide Building Society",1.5081257910207326,19
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Employers,"NFU Mutual",3.7897153426908887,20
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Jobs,"Software Engineer",3.3932927643589705,1
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Jobs,"Business Analyst",2.387279436356562,2
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Jobs,"Project Manager",1.9438115797043014,3
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Jobs,"Financial Advisor",1.7281203700275634,4
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Jobs,"Underwriter",1.6572919832269835,5
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Jobs,"Business Development Manager",1.511168191882471,6
2021-05-31,gb,"United Kingdom","All","Finance",Top Trending Jobs,"Mortgage Advisor",1.369413790126892,7
