date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"NHS",2.2752685107789965,1
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"NHS England",3.35041071796614,2
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Public Health England",6.611057068415032,3
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"GSK",2.294622701066033,4
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"IQVIA",4.605239624654273,5
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Bupa",2.7076882559997366,6
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Priory Group",4.856648302284242,7
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"ProPharma Group",39.95672927822115,8
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Guy's and St Thomas'​ NHS Foundation Trust",2.3499065276283937,9
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"LumiraDx",17.020744031009762,10
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"NHS Digital",3.974670264205369,11
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"NHS Trust",3.2024054904735837,12
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Spire Healthcare Group plc",4.1907532903045395,13
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Manchester University NHS Foundation Trust",3.594784252081879,14
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Cygnet Health Care",5.117734950657087,15
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Pharmaron",30.8376122584262,16
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Oncologica UK",53.75150837124908,17
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Bristol Myers Squibb",7.543865798057365,18
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Abbott",4.589539454434586,19
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Employers,"Almac Group",4.965605426798985,20
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Support Associate",3.3059573367015296,1
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Nurse",2.2747895762960337,2
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Project Manager",2.0592705396924713,3
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Psychologist",1.3482986861913344,4
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Account Manager",1.0421581263118147,5
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Laboratory Technician",1.0058637876197603,6
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Receptionist",0.946726425409878,7
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Physiotherapist",0.8179196882152729,8
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Pharmacist",0.7695580435503422,9
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Operations Manager",0.7546206128726205,10
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Software Engineer",0.6784777817301227,11
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Program Manager",0.6090297600482689,12
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Medical Writer",0.6075234538262915,13
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Human Resources Business Partner",0.5800511631508195,14
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Human Resources Administrator",0.5723853509205641,15
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Business Development Manager",0.5428131612429027,16
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Quality Assurance Manager",0.5115627697897145,17
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Business Analyst",0.5088451215683634,18
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Service Manager",0.49720963631404186,19
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Jobs,"Marketing Manager",0.48584756374859883,20
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Skills,"Account Management",-1,1
2021-05-31,gb,"United Kingdom","All","Health Care",Top Trending Skills,"JavaScript",-1,2
