date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"BAE Systems",2.7982772399048503,1
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Arrival",16.483381149306666,2
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Babcock International Group",2.4582510180595456,3
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Jaguar Land Rover",1.3291272493544644,4
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"ENGIE UK & Ireland",6.050394954965306,5
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"QinetiQ",4.051457637067223,6
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Greencore",5.866810920137863,7
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Dyson",3.3842740669197955,8
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Johnson Matthey",3.0951113563783252,9
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Biffa",7.1617940021943385,10
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Ford Motor Company",2.9881397208455436,11
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Leonardo",1.9586173980770707,12
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"MBDA",3.1012008913063287,13
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"The AA",4.426639167263428,14
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Defence Equipment & Support (DE&S)",2.529030993930236,15
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Boeing",4.051017905229189,16
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"McLaren Automotive Ltd",3.908758495345223,17
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Stork, a Fluor company",7.551389970747086,18
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Arnold Clark",4.0103007565672195,19
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Employers,"Group Lotus",8.67347105776498,20
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Sales Executive",3.2099736063523627,1
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Sales Manager",2.6362182344547516,2
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Project Manager",2.535354353551421,3
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Business Development Manager",1.9613542563657353,4
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Account Manager",1.4670336425049764,5
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Software Engineer",1.3988724026682595,6
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Design Engineer",1.2967214859330578,7
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Operations Manager",1.1132057201677654,8
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Buyer",0.9708055004818903,9
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Project Engineer",0.9232780287582737,10
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"System Engineer",0.8477483982490994,11
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Accountant",0.8074343337127051,12
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Mechanical Engineer",0.7376537529477226,13
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Marketing Executive",0.7113549927781067,14
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Mechanical Design Engineer",0.6357504518898813,15
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Sales Administrator",0.6258762818528567,16
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Service Engineer",0.6213810798392991,17
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Marketing Manager",0.5635450194200283,18
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Production Manager",0.5315215067164476,19
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Jobs,"Financial Controller",0.5261580691245591,20
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Account Management",-1,1
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Sales Management",-1,2
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"JavaScript",-1,3
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Operations Management",-1,4
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Stakeholder Management",-1,5
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Project Delivery",-1,6
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Marketing Strategy",-1,7
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Business-to-Business (B2B)",-1,8
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Financial Accounting",-1,9
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Change Management",-1,10
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Digital Marketing",-1,11
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Email Marketing",-1,12
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Project Engineering",-1,13
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Financial Reporting",-1,14
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Computer-Aided Design (CAD)",-1,15
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Procurement",-1,16
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Management Accounting",-1,17
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Production Management",-1,18
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Design Engineering",-1,19
2021-05-31,gb,"United Kingdom","All","Manufacturing",Top Trending Skills,"Systems Engineering",-1,20
