date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"Kantar",5.887324962269241,1
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"dentsu international",5.993612939015615,2
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"Ipsos MORI",6.474099135572345,3
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"iProspect",15.283792001041821,4
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"OLIVER Agency",8.6434058691485,5
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"Essence",10.850299242991655,6
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"News UK",4.03186909191211,7
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"PHMG",9.820344779858658,8
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"Hogarth Worldwide",5.103579727167385,9
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"Jellyfish",11.933272315065471,10
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"Frontiers",15.087840090115446,11
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"Immediate Media Co",5.975759834575242,12
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"Oxford University Press",2.733972558290932,13
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"PHD",8.148470850162465,14
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Employers,"LADbible Group",13.186651759375486,15
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Account Manager",7.6652937679032505,1
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Account Executive",6.702318292782874,2
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Account Director",2.8070535740168623,3
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Writer",2.434312135436807,4
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Editor",2.142584687119898,5
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Project Manager",2.066239298603764,6
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Graphic Designer",1.7963714287043675,7
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Marketing Executive",1.615558403092514,8
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Marketing Manager",1.3586302002613544,9
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Business Development Manager",1.3098768179325186,10
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Copywriter",1.16698545787362,11
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Media Executive",1.1528881731579064,12
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Social Media Manager",1.08419299548901,13
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Digital Marketing Executive",0.9319279372277395,14
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Business Development Executive",0.8524509599621002,15
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Software Engineer",0.8315551381523565,16
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Content Writer",0.8049721686628519,17
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Sales Executive",0.8029102492278817,18
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Reporter",0.7665144144033378,19
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Jobs,"Video Editor",0.6913436296699049,20
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"Account Management",-1,1
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"JavaScript",-1,2
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"Writing",-1,3
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"Stakeholder Management",-1,4
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"Project Delivery",-1,5
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"Marketing Strategy",-1,6
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"Business-to-Business (B2B)",-1,7
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"Logo Design",-1,8
2021-05-31,gb,"United Kingdom","All","Media & Communications",Top Trending Skills,"Editing",-1,9
