date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"CBRE",4.003734155434094,1
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"CBRE Global Workplace Solutions (GWS) EMEA",4.476443921100834,2
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"Knight Frank",4.893387999437687,3
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"Taylor Wimpey plc",4.814092666377303,4
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"Countryside",7.025613903742969,5
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"Connells",9.0637017737824,6
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"CBRE UK",5.784054783689541,7
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"haart Estate Agents",11.67852872018363,8
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"Sequence UK Ltd incorporating Barnard Marcus - Brown & Merry - Fox & Sons - William H Brown",7.5143198719876,9
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"Foxtons",6.2362601119942465,10
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Sales Negotiator",6.192231621290391,1
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Property Manager",5.696780119611001,2
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Real Estate Rental Agent",4.498413626493807,3
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Project Manager",2.4000765288685457,4
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Sales Manager",1.7479065757536403,5
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Property Consultant",1.7112391721419162,6
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Building Surveyor",1.4037159787842,7
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Real Estate Rental Manager",1.2675118850409994,8
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Sales Consultant",1.2145506144160638,9
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Account Manager",1.1849823242463255,10
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Estate Agent",1.1089486163677122,11
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Account Management",-1,1
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Sales Management",-1,2
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Stakeholder Management",-1,3
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Project Delivery",-1,4
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Business-to-Business (B2B)",-1,5
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Property Management",-1,6
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Retail",-1,7
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Lettings",-1,8
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Residential Real Estate",-1,9
2021-05-31,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Refurbishments",-1,10
