date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Accenture",7.57581331007023,1
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Capgemini",6.993839539985551,2
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Microsoft",5.245977719399901,3
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Facebook",5.8179448225553285,4
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Just Eat Takeaway.com",18.68860041170666,5
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",8.318554548785908,6
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Deliveroo",9.31831470806058,7
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Serco",5.701788077891505,8
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"AND Digital",22.129971760808402,9
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Tata Consultancy Services",2.867136898618225,10
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"THG",7.814063658823874,11
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Sage",6.4764003172681885,12
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Concentrix",10.219666780773178,13
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"DXC Technology",3.221264526423847,14
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"BJSS",10.849957814716733,15
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Wipro Limited",5.216989270282009,16
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Accenture UK",8.669795823728249,17
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Oracle",3.563338091327881,18
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"ASOS.com",4.424082880582985,19
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"FDM Group",6.4697663833133605,20
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Software Engineer",7.632750177523441,1
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Project Manager",2.45819430476286,2
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Account Manager",2.1046694336918055,3
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Business Development Manager",1.912951406117157,4
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Account Executive",1.853009879549946,5
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Sales Development Representative",1.4216503477680411,6
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Customer Success Manager",1.4131870928671026,7
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Recruiter",1.4065863444334143,8
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Business Analyst",1.2871622397736946,9
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Product Manager",1.2685257512636468,10
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Solutions Architect",1.0517367850925465,11
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Marketing Manager",1.0084897995545565,12
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Business Development Representative",0.8511709390902473,13
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Frontend Developer",0.8023446443744284,14
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Business Development Executive",0.7453904511057297,15
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Sales Director",0.7423205401674362,16
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Sales Executive",0.6982778475619531,17
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Data Scientist",0.6836301707333482,18
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Sales Manager",0.6630932865607163,19
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Marketing Executive",0.6515925259745992,20
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Account Management",-1,1
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Sales Management",-1,2
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,3
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Business Analysis",-1,4
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Stakeholder Management",-1,5
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Project Delivery",-1,6
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Marketing Strategy",-1,7
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Business-to-Business (B2B)",-1,8
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Digital Marketing",-1,9
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Requirements Gathering",-1,10
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Email Marketing",-1,11
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Recruiting",-1,12
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Product Development",-1,13
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Solution Architecture",-1,14
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Machine Learning",-1,15
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Data Science",-1,16
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"React.js",-1,17
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"SASS",-1,18
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Interviewing",-1,19
2021-05-31,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Enterprise Architecture",-1,20
