date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Teach For America",6.3834998538481456,1
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Stanford University",3.0849239056180067,2
2021-05-31,us,"United States","All","Education",Top Trending Employers,"University of Michigan",2.6615910874462916,3
2021-05-31,us,"United States","All","Education",Top Trending Employers,"PRA Health Sciences",5.647969329249236,4
2021-05-31,us,"United States","All","Education",Top Trending Employers,"University of Florida",3.0252658708661997,5
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Columbia University in the City of New York",3.0999221080913233,6
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Arizona State University",2.703638490235729,7
2021-05-31,us,"United States","All","Education",Top Trending Employers,"University of Pennsylvania",3.056346186657159,8
2021-05-31,us,"United States","All","Education",Top Trending Employers,"University of Washington",2.1652167126019823,9
2021-05-31,us,"United States","All","Education",Top Trending Employers,"University of California, San Francisco",2.880969888381611,10
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Harvard University",3.0429638619558155,11
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Penn State University",2.0891043002815337,12
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Pearson",3.502466246506253,13
2021-05-31,us,"United States","All","Education",Top Trending Employers,"University of Wisconsin-Madison",2.3937074990543787,14
2021-05-31,us,"United States","All","Education",Top Trending Employers,"University of Southern California",2.8408411570922687,15
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Purdue University",2.824718442259944,16
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Northeastern University",3.123499580187405,17
2021-05-31,us,"United States","All","Education",Top Trending Employers,"Massachusetts Institute of Technology",3.2000719522192695,18
2021-05-31,us,"United States","All","Education",Top Trending Employers,"The University of Texas at Austin",2.173888847678864,19
2021-05-31,us,"United States","All","Education",Top Trending Employers,"University of Chicago",3.0445798882493973,20
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Teacher",7.465277562372973,1
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Professor",5.196551273177027,2
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Postdoctoral Researcher",3.300729403622398,3
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Software Engineer",1.4132757989232965,4
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Elementary School Teacher",1.1872961298567801,5
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Project Manager",0.9954454998284947,6
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Program Coordinator",0.8514764544999266,7
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Member Of The Board Of Advisors",0.810283113252424,8
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Program Manager",0.7389508463372793,9
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Academic Advisor",0.7198726406082017,10
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Clinical Research Coordinator",0.6846966203285221,11
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Special Education Teacher",0.5992400636029248,12
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Basketball Coach",0.593288126917253,13
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Lecturer",0.5887396405939151,14
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Research Technician",0.5568876720449725,15
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Admissions Counselor",0.5354750053693672,16
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Mathematics Teacher",0.5254561271013911,17
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Data Analyst",0.46783087323493183,18
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"Graphic Designer",0.46741666288875855,19
2021-05-31,us,"United States","All","Education",Top Trending Jobs,"English Teacher",0.44324222600850605,20
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Teaching",-1,1
2021-05-31,us,"United States","All","Education",Top Trending Skills,"JavaScript",-1,2
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Curriculum Development",-1,3
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Adobe Creative Suite",-1,4
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Construction Management",-1,5
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Higher Education",-1,6
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Program Management",-1,7
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Data Analysis",-1,8
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Special Education",-1,9
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Cross-functional Team Leadership",-1,10
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Classroom Management",-1,11
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Tableau",-1,12
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Elementary Education",-1,13
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Community Outreach",-1,14
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Molecular Biology",-1,15
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Nonprofit Organizations",-1,16
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Cell Culture",-1,17
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Clinical Research",-1,18
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Good Clinical Practice (GCP)",-1,19
2021-05-31,us,"United States","All","Education",Top Trending Skills,"Academic Advising",-1,20
