date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"The Walt Disney Company",4.476137212052795,1
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Netflix",6.381472358967185,2
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"NBCUniversal Media, LLC",4.677203171941144,3
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Walt Disney World",4.083958851289549,4
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Spotify",7.427415732642735,5
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Roku Inc.",13.957934478149062,6
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Topgolf",7.164685709908348,7
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"iHeartMedia",4.108834131839855,8
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Riot Games",8.378237791175161,9
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Epic Games",9.22111913645439,10
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Discovery Inc",4.6361651103724695,11
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"SeaWorld Parks & Entertainment",8.90567232458808,12
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Gannett | USA TODAY NETWORK",3.9172854586124317,13
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Live Nation Entertainment",3.0941852836920813,14
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Six Flags",7.379572643361223,15
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"The Washington Post",6.0026633377988095,16
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Creative Artists Agency",8.572065091377914,17
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"Sony Pictures Entertainment",3.7681814988116984,18
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"PlayStation",3.2235422218589647,19
2021-05-31,us,"United States","All","Entertainment",Top Trending Employers,"TEGNA",5.893620795142654,20
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Software Engineer",3.6097050564988757,1
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Editor",2.3176884563803126,2
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Account Executive",1.4345334723835141,3
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Writer",1.3811721822783678,4
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Video Editor",1.1089826167162309,5
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Project Manager",1.0639281814405257,6
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Recruiter",1.0026292074641767,7
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Host",0.9812557216782265,8
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Product Manager",0.9493222534793696,9
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Production Coordinator",0.9466468569837773,10
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Artist",0.9417547092545916,11
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Animator",0.9171182611147662,12
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Reporter",0.8886012380860406,13
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Account Manager",0.8177547240924996,14
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Production Manager",0.7497496181676719,15
2021-05-31,us,"United States","All","Entertainment",Top Trending Jobs,"Graphic Designer",0.7169088662667934,16
