date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Abbott",5.219522915920857,1
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Bristol Myers Squibb",5.060447676904386,2
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Kaiser Permanente",1.664028938176829,3
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Optum",4.289008387005853,4
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"IQVIA",6.89568593088221,5
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Pfizer",3.7098825433277742,6
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"UnitedHealth Group",1.6805021378122076,7
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"AbbVie",3.71121708804338,8
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Ascension",4.103049275497831,9
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Mayo Clinic",3.332942282400137,10
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Anthem, Inc.",3.0746471404704447,11
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"HCA Healthcare",3.066693193903327,12
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Massachusetts General Hospital",4.804543142824043,13
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Boston Scientific",4.191370103618046,14
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"AdventHealth",4.075093191365132,15
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Cleveland Clinic",2.708653596088758,16
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Catalent Pharma Solutions",7.947139288383632,17
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"NYU Langone Health",3.9107643132991163,18
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Bayer Pharmaceuticals",14.630689987548424,19
2021-05-31,us,"United States","All","Health Care",Top Trending Employers,"Northwell Health",2.472613417720754,20
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Nurse",6.331474193569156,1
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Salesperson",1.1608438830694476,2
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Project Manager",1.1425921972265645,3
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Software Engineer",1.0780925131264172,4
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Physical Therapist",0.9761947531292395,5
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Behavioral Health Technician",0.9466119008567022,6
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Account Manager",0.9355897259012138,7
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Occupational Therapist",0.7669127644555718,8
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Medical Scribe",0.7468059947025549,9
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Recruiter",0.7382264209246228,10
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Pharmacy Technician",0.703532649247592,11
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Account Executive",0.6295494641392937,12
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Patient Care Technician",0.6062852422628917,13
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Accountant",0.6058375260141262,14
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Medical Resident",0.5698087265598721,15
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Financial Analyst",0.5687339023643991,16
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Medical Doctor",0.5474244843250973,17
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Clinical Research Coordinator",0.5399238394682941,18
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Human Resources Administrator",0.5364775292456788,19
2021-05-31,us,"United States","All","Health Care",Top Trending Jobs,"Emergency Medical Technician",0.5227977589539541,20
2021-05-31,us,"United States","All","Health Care",Top Trending Skills,"JavaScript",-1,1
2021-05-31,us,"United States","All","Health Care",Top Trending Skills,"Account Management",-1,2
2021-05-31,us,"United States","All","Health Care",Top Trending Skills,"Recruiting",-1,3
2021-05-31,us,"United States","All","Health Care",Top Trending Skills,"Construction Management",-1,4
