date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Horizon Media",12.369461505611774,1
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Digitas North America",14.231917767516384,2
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"OMD USA",13.572381628422866,3
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"The New York Times",4.389955385489654,4
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Merkle",6.982927529079184,5
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"SponsorUnited",49.546473581099654,6
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"JV Genius",69.5302068672886,7
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"FCB Health",9.47006616018794,8
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"MRM",11.860724411064302,9
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Wieden + Kennedy",14.166136636708659,10
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Hearts & Science",15.171449205135257,11
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Havas Media Group",19.981880602193506,12
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"UM Worldwide",10.874576800610889,13
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Publicis Health Media",20.759953088763556,14
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"CIENCE",41.713885686403174,15
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Essence",13.8460152446433,16
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Cision",11.024683161173163,17
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Arc Worldwide",40.59421978434665,18
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"Penguin Random House",3.7861569880852404,19
2021-05-31,us,"United States","All","Media & Communications",Top Trending Employers,"TransPerfect",5.310901064905,20
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Executive",6.049164659005393,1
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Manager",4.165558008380425,2
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Project Manager",2.9901739726653744,3
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Writer",2.2098596847318084,4
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Graphic Designer",2.196667722061296,5
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Editor",2.1340667797717794,6
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Coordinator",1.9117055724061531,7
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Copywriter",1.7785894420580293,8
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Art Director",1.6873986825191705,9
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Creative Director",1.3458236123327674,10
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Director",1.344227813562838,11
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Software Engineer",1.2903376283011954,12
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Supervisor",1.1687317521511857,13
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Reporter",1.0591526353553953,14
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Media Planner",1.0365555554642008,15
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Social Media Manager",0.8371300904582548,16
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Marketing Manager",0.8032286287447599,17
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Salesperson",0.7377035513588737,18
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Sales Development Representative",0.7169467824554102,19
2021-05-31,us,"United States","All","Media & Communications",Top Trending Jobs,"Marketing Coordinator",0.6943677219028028,20
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"JavaScript",-1,1
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Account Management",-1,2
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Writing",-1,3
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Adobe Creative Suite",-1,4
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Editing",-1,5
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Construction Management",-1,6
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Social Media Marketing",-1,7
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Social Media",-1,8
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Copy Editing",-1,9
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Copywriting",-1,10
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Art Direction",-1,11
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Journalism",-1,12
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Salesforce.com",-1,13
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"News Writing",-1,14
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Cold Calling",-1,15
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Event Planning",-1,16
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Integrated Marketing",-1,17
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Media Planning",-1,18
2021-05-31,us,"United States","All","Media & Communications",Top Trending Skills,"Media Buying",-1,19
